TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MEM,MEM @ DET,12/06/2023,W,240,116,47,91,51.6,11,26,42.3,11,14,78.6,9,37,46,26,10,8,14,9,14
DET,DET vs. MEM,12/06/2023,L,240,102,41,91,45.1,11,35,31.4,9,9,100,8,34,42,30,9,6,17,17,-14
CLE,CLE vs. ORL,12/06/2023,W,240,121,46,86,53.5,14,34,41.2,15,20,75.0,10,35,45,29,5,2,17,27,10
ORL,ORL @ CLE,12/06/2023,L,240,111,41,84,48.8,2,23,8.7,27,37,73.0,7,29,36,22,10,6,11,21,-10
TOR,TOR vs. MIA,12/06/2023,L,240,103,37,86,43.0,14,37,37.8,15,17,88.2,8,38,46,29,3,8,14,18,-9
MIA,MIA @ TOR,12/06/2023,W,240,112,41,89,46.1,14,38,36.8,16,19,84.2,8,36,44,33,5,4,7,18,9
BKN,BKN @ ATL,12/06/2023,W,240,114,43,94,45.7,11,27,40.7,17,24,70.8,12,33,45,24,7,6,12,19,1
ATL,ATL vs. BKN,12/06/2023,L,240,113,42,94,44.7,12,35,34.3,17,18,94.4,11,38,49,25,5,4,13,23,-1
SAS,SAS @ MIN,12/06/2023,L,240,94,38,101,37.6,8,36,22.2,10,15,66.7,13,36,49,23,7,4,12,17,-8
MIN,MIN vs. SAS,12/06/2023,W,240,102,36,87,41.4,12,40,30.0,18,21,85.7,11,44,55,20,4,10,14,16,8
OKC,OKC @ HOU,12/06/2023,L,240,101,37,87,42.5,8,29,27.6,19,24,79.2,4,26,30,22,14,10,9,21,-9
HOU,HOU vs. OKC,12/06/2023,W,240,110,40,83,48.2,15,33,45.5,15,22,68.2,10,43,53,28,6,5,21,16,9
UTA,UTA @ DAL,12/06/2023,L,240,97,35,87,40.2,12,33,36.4,15,18,83.3,11,32,43,22,6,3,19,20,-50
DAL,DAL vs. UTA,12/06/2023,W,240,147,56,101,55.4,22,49,44.9,13,19,68.4,11,36,47,37,11,5,8,14,50
